'Fragebogen Nr';'Person 1';'Person 2';'P2.Stab';'P2.LP';'P2.Schild';'P2.Q';'P2.Kette';'P2.Quick';10;20;30;41;42;43;44;45;51;52;53;54;55;56;61;62;63;64;65;66;67;71;72;81;91;92;93;94;95;96;97;98;99;101;102;103;103,5;103,6;103,7;103,8
1;10;'alles';1;1;1;1;1;1;1;1;1;1;1;1;2;3;0;0;5;4;3;2;2;3;4;5;1;1;2;1;2;3;4;3;5;1;5;4;5;4;5;5;4;8;;;;1
2;1;'Langpomfpe';;1;;;;;2;;3;3;5;3;3;2;0;0;3;3;3;4;4;4;4;4;2;1;5;5;5;5;4;2;70;2;4;4;4;5;2;2;5;6;;1;;
3;0;'Langpomfpe';;1;;;;;5;3;3;3;3;2;2;4;0;0;;;5;2;3;2;3;3;2;2;3;3;3;5;2;2;70;2;3;5;1;4;4;3;4;5;1;;;
4;4;'Schild';;;1;;;;2;;3;1;5;1;2;2;0;0;5;1;3;4;4;5;2;3;3;5;3;3;2;4;4;2;75;2;4;1;1;;4;1;1;8;;;;1
5;5;'Stab/Kette';1;;;;1;;5;2;2;1;1;1;1;4;0;0;5;1;3;4;2;4;1;1;1;2;1;3;3;5;2;4;60;2;4;1;1;3;4;1;2;8;;;;1
6;4;'Stab/läufer';1;;;;;1;5;2;5;1;1;1;1;5;1;6;5;2;3;5;4;3;1;3;1;4;1;4;4;2;1;2;70;5;1;4;1;3;4;1;5;8;;;;1
7;5;'Stab';1;;;;;;5;;2;1;2;3;4;5;1;;;1;4;2;4;4;2;2;2;4;4;3;3;2;4;3;60;4;2;2;2;4;2;1;3;8;;;;1
8;6;'Q';;;;1;;;5;;2;1;1;1;1;5;0;0;4;2;4;2;4;4;4;1;1;4;1;4;4;2;1;2;60;5;1;4;1;3;4;1;5;5;1;;;
9;3;'Kette';;;;;1;;5;1;;1;1;1;1;5;1;1;5;1;1;5;1;2;1;4;4;4;2;1;1;1;4;2;65;3;5;2;3;4;4;1;2;6;;1;;
10;6;'Stab';1;;;;;;5;;2;1;1;1;1;4;0;0;5;2;3;5;4;3;4;3;3;5;5;4;5;1;2;2;60;2;3;4;2;1;4;1;1;5;1;;;
11;7;'Stab';1;;;;;;5;;2;1;1;1;1;5;0;0;;;;;4;5;4;4;3;4;3;5;4;1;1;1;80;1;1;1;1;4;3;1;4;5;1;;;
12;6;'Kette';;;;;1;;5;3;;1;1;1;1;1;1;2;5;1;1;3;1;1;3;1;1;4;;1;1;2;4;4;50;2;4;3;1;4;1;1;2;8;;;;1
13;2;'Kette/Läufer';;;;;1;1;4;;;1;2;3;2;5;0;0;4;1;1;5;5;5;3;2;1;4;1;3;3;1;5;5;50;4;5;1;;4;4;1;4;8;;;;1
14;3;'Q';;;;1;;;5;;1;1;1;2;2;5;0;0;;;;;5;5;5;5;3;5;5;4;4;1;1;1;60;1;1;5;1;2;1;1;5;5;1;;;
15;2;'Stab';1;;;;;;4;;1;1;1;3;1;3;0;0;4;2;5;2;5;1;1;4;4;1;4;2;1;4;3;3;60;1;1;5;1;5;2;1;4;5;1;;;
16;8;'Alles';1;1;1;1;1;1;5;3;4;3;3;3;2;4;1;1,5;;3;2;4;4;5;4;2;3;4;3;3;3;2;4;4;70;4;4;3;3;3;3;2;2;7;;;1;
17;6;'Alles';1;1;1;1;1;1;5;4;3;;1;;3;4;1;5;4;;2;1;2;;4;5;4;3;2;1;2;3;4;;12;4;3;;;2;3;4;5;7;;;1;
18;6;'Schild';;;1;;;;5;;3;1;1;1;3;5;0;0;;;;;1;4;4;3;3;5;3;4;4;3;1;3;60;2;3;3;4;2;4;3;3;;;;;
19;2;'schild';;;1;;;;5;;3;3;1;2;1;2;0;0;4;2;3;1;5;3;5;3;3;3;3;4;5;1;2;2;60;1;4;5;4;3;2;1;4;6;;1;;
20;0;'Stab';1;;;;;;4;;3;5;3;3;2;2;0;0;3;3;4;1;4;4;4;3;3;3;3;3;2;3;3;3;20;4;3;4;1;4;4;2;4;5;1;;;
21;4;'Stab';1;;;;;;2;;1;;4;;;3;0;0;;4;;;5;2;2;3;3;5;3;2;3;4;3;5;70;4;3;3;3;4;4;2;4;'5;6';1;1;;
22;0;;;;;;;;5;;3;3;1;1;2;5;0;0;3;3;3;3;4;5;4;;3;4;4;4;4;3;3;4;;3;3;4;4;3;5;1;5;5;1;;;
23;3;'Q';;;;1;;;5;;3;1;1;1;2;4;1;2;5;1;2;4;5;5;1;2;3;5;3;3;4;2;5;4;50;1;4;2;2;4;5;1;3;'6;7';;1;1;
24;1;'LP';;1;;;;;2;;4;3;1;5;4;3;0;0;5;2;3;3;3;5;5;4;4;3;4;5;2;5;4;3;60;3;3;4;3;5;2;3;5;5;1;;;
25;4;'Stab';1;;;;;;5;;1;3;1;2;2;5;0;0;1;1;5;1;5;5;5;3;3;3;4;4;4;3;1;1;70;4;1;4;1;1;3;1;4;5;1;;;
26;10;'Stab/Kette';1;;;;1;;5;1;1;3;1;2;2;5;1;5;1;1;5;1;5;5;5;3;3;3;4;4;4;3;1;1;60;4;1;4;1;1;3;1;4;5;1;;;
27;0;'LP';;1;;;;;4;;4;3;4;4;;5;0;0;;;2;4;1;2;1;1;1;4;1;1;1;1;4;3;70;4;4;1;3;3;2;3;2;;;;;
28;3;'Kette';;;;;1;;5;5;3;4;3;3;4;3;1;2;4;1;4;2;5;5;3;3;5;4;4;5;5;3;5;4;70;5;5;5;5;4;5;5;5;6;;1;;
29;3;'Stab';1;;;;;;5;;4;1;1;1;1;5;0;0;;;;;4;2;1;1;2;4;4;4;2;2;3;1;80;3;2;2;1;3;3;2;5;7;;;1;
30;4;'Stab';1;;;;;;5;3;1;1;1;1;1;5;0;0;;;5;1;5;5;5;4;5;3;5;2;4;1;1;1;70;2;2;5;1;4;5;1;4;'6;5';1;1;;
31;6;'Kette';;;;;1;;3;5;;1;2;2;2;3;1;3;;1;3;5;2;4;2;2;3;2;2;4;4;3;5;5;75;4;5;;4;4;3;2;3;6;;1;;
32;3;'Stab';1;;;;;;5;;1;1;1;1;1;3;0;0;3;3;4;3;5;4;2;1;2;4;3;3;;2;1;1;;2;4;3;1;1;4;1;4;;;;;
33;5;'Stab';1;;;;;;4;;1;1;1;1;1;3;1;1;5;1;5;1;4;3;3;1;3;4;3;4;2;4;1;1;70;1;3;4;1;4;4;1;5;5;1;;;
34;;'Q';;;;1;;;5;;1;1;1;1;1;5;1;1;5;1;5;1;2;4;5;3;3;5;4;4;5;3;1;1;53;3;1;5;1;4;5;1;5;5;1;;;
35;1;'Kette';;;;;1;;5;1;3;2;2;2;2;4;0;0;;;2;4;1;1;1;2;1;4;2;2;3;2;4;4;65;3;4;2;3;4;3;1;2;6;;1;;
36;3;'Stab';1;;;;;;5;;1;1;2;1;1;5;1;1;5;1;3;3;2;5;5;4;4;5;4;5;4;2;4;1;70;4;2;1;1;4;3;1;5;5;1;;;
37;4;'Schild';;;1;;;;5;;1;1;3;1;1;3;0;0;3;3;4;1;4;4;4;3;4;4;3;4;4;2;4;2;60;2;2;4;2;2;3;1;3;'5;8';1;;;1
38;2;'Stab';1;;;;;;5;;;4;2;2;3;4;0;0;3;3;3;3;5;5;5;3;3;2;4;4;4;4;3;3;70;4;3;3;3;4;4;3;3;6;;1;;
39;3;'Stab/Kette';1;;;;1;;5;3;3;4;2;4;4;3;0;0;4;2;2;5;2;4;1;2;3;4;2;3;3;3;4;4;50;5;5;2;3;2;4;4;2;8;;;;1
40;;'Stab';1;;;;;;5;;2;3;3;3;2;5;0;0;2;4;5;2;5;5;5;4;4;2;5;3;3;2;2;3;75;4;4;5;2;4;4;1;5;5;1;;;
41;3;'Q';;;;1;;;5;;5;1;2;4;2;3;0;0;5;1;3;3;5;4;4;3;3;3;3;4;3;1;4;3;65;2;4;4;2;4;5;1;5;6;;1;;
42;;'Stab / Kette';1;;;;1;;2;4;5;5;4;3;;1;0;0;5;1;1;5;3;3;2;3;2;5;2;2;2;5;5;5;95;3;5;1;3;3;1;4;1;8;;;;1
43;1;'Q';;;;1;;;5;;2;1;4;3;2;4;;;4;2;1;3;4;1;3;3;3;2;3;4;4;3;4;4;70;3;4;2;1;4;1;1;3;'6;7;8';;1;1;1
44;2;'Kette';;;;;1;;5;5;;1;1;1;1;3;1;2;5;1;1;5;1;4;4;1;1;4;1;4;4;2;4;4;90;1;5;1;3;5;1;1;2;7;;;1;
45;3;'Schild';;;1;;;;;;2;1;2;2;2;4;0;0;4;3;3;3;4;4;4;3;3;4;3;4;3;4;2;2;65;2;3;3;1;4;2;1;3;'6;7;8';;1;1;1
46;11;'Q';;;;1;;;5;;1;3;1;1;1;5;0;0;3;3;3;2;4;4;3;2;3;4;1;3;3;1;1;1;50;4;5;1;3;3;3;2;3;'5;8';1;;;1
47;3;'Stab';1;;;;;;5;;2;1;1;1;1;3;0;0;;;;;3;4;5;1;1;4;1;5;3;1;2;2;70;3;2;4;1;4;5;1;3;8;;;;1
48;1;'Stab';1;;;;;;1;;;1;1;1;1;5;0;0;2;2;4;3;4;4;3;2;;;;4;4;1;2;;60;2;4;5;2;4;5;1;4;5;1;;;
49;1;'Schild';;;1;;;;5;;3;3;2;3;2;4;0;0;;;4;2;5;4;3;3;3;3;3;4;4;4;5;4;70;4;4;4;3;4;4;3;3;8;;;;1
50;6;'Kette';;;;;1;;5;1;2;4;3;3;2;3;0;0;4;2;2;4;1;1;1;2;3;4;3;2;1;2;3;3;75;4;5;2;4;2;1;3;2;8;;;;1
51;6;'Stab';1;;;;;;3;3;1;1;3;1;1;2;1;2;5;1;3;1;1;3;3;3;3;4;4;3;2;4;3;2;70;3;3;3;3;3;3;3;3;;;;;
52;2;'Stab';1;;;;;;5;;;;1;;3;5;0;0;4;2;4;2;1;4;3;3;3;5;1;2;2;5;2;;75;4;2;3;1;5;4;2;4;'6;7;8';;1;1;1
